Date,Adj Close_x,Adj Close_y
2021-01-04,128.804825,1728.23999
2021-01-05,130.397324,1740.920044
2021-01-06,126.007957,1735.290039
2021-01-07,130.307755,1787.25
2021-01-08,131.432465,1807.209961
2021-01-11,128.376831,1766.719971
2021-01-12,128.197662,1746.550049
2021-01-13,130.277893,1754.400024
2021-01-14,128.307175,1740.180054
2021-01-15,126.545425,1736.189941
2021-01-19,127.232201,1790.859985
2021-01-20,131.412567,1886.900024
2021-01-21,136.229919,1891.25
2021-01-22,138.419647,1901.050049
2021-01-25,142.251633,1899.400024
2021-01-26,142.490524,1917.23999
2021-01-27,141.39566,1830.790039
2021-01-28,136.448898,1863.109985
2021-01-29,131.34288,1835.73999
